dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-348-1-0
the8x3_filename: 00440000
filename_extension: sbd
filename_label: sunfish-2021-348-1-0-sbd(00440000)
mission_name: regm20.mi
fileopen_time: Wed_Dec_15_16:07:00_2021
sensors_per_cycle: 28
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-348-1-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy 
in cc rad rad rad lat lon m volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 
NaN NaN 0.156528 1.68521 NaN NaN NaN NaN NaN NaN 422.505 NaN 0.144742 NaN NaN NaN NaN 1.5708 NaN NaN NaN 1639588732.1 42.2505 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.16614 1.68523 NaN NaN NaN NaN NaN NaN 429.691 NaN 0.170796 NaN NaN NaN NaN 1.61094 NaN NaN NaN 1639588796.141 42.9691 NaN 0.0628319 NaN NaN NaN 
0.240558 NaN NaN NaN -0.4538 NaN NaN NaN 15.0083 0.255323 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.45204 1639588852.229 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.195509 1.68525 NaN NaN NaN NaN NaN NaN 436.353 NaN 0.188165 NaN NaN NaN NaN 1.65632 NaN NaN NaN 1639588856.236 43.6353 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.195509 1.68524 NaN NaN NaN NaN NaN NaN 442.753 NaN 0.188165 NaN NaN NaN NaN 1.76278 NaN NaN NaN 1639588916.329 44.2753 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.0184737 1.68521 NaN NaN NaN NaN NaN NaN 449.655 NaN -0.0231587 NaN NaN NaN NaN 1.81514 NaN NaN NaN 1639588980.37 44.9655 NaN 0.0628319 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.12311228157 -4913.09463118317 NaN 1639588984.428 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0324967 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639589040.461 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.68519 NaN NaN NaN NaN NaN NaN 456.645 NaN -0.0231587 NaN NaN NaN NaN 1.72962 NaN NaN NaN 1639589044.467 45.6645 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.0324967 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639589100.559 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.68519 NaN NaN NaN NaN NaN NaN 463.198 NaN -0.0231587 NaN NaN NaN NaN 1.65108 NaN NaN NaN 1639589104.565 46.3198 NaN 0.0558505 NaN NaN NaN 
NaN NaN 0.151846 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639589160.598 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.68521 NaN NaN NaN NaN NaN NaN 469.969 NaN 0.144742 NaN NaN NaN NaN 1.51146 NaN NaN NaN 1639589164.657 46.9969 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.30031 1.68525 NaN NaN NaN NaN NaN NaN 476.544 NaN 0.274127 NaN NaN NaN NaN 1.47829 NaN NaN NaN 1639589224.692 47.6544 NaN 0.0593412 NaN NaN NaN 
0.240558 -212.5 NaN NaN -0.4538 NaN NaN NaN 14.9999 0.255323 NaN -219.462 NaN NaN NaN NaN NaN NaN NaN NaN -0.450295 1639589252.769 NaN NaN NaN 7.76227 NaN NaN 
NaN NaN 0.272261 1.68527 NaN NaN NaN NaN NaN NaN 483.293 NaN 0.27296 NaN NaN NaN NaN 1.7174 4835.13113575855 -4913.04664898906 NaN 1639589284.788 48.3293 NaN 0.0558505 NaN NaN NaN 
NaN NaN 0.0495032 1.68525 NaN NaN NaN NaN NaN NaN 489.693 NaN 0.0607917 NaN NaN NaN NaN 1.87972 NaN NaN NaN 1639589344.879 48.9693 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0748899 1.68521 NaN NaN NaN NaN NaN NaN 496.18 NaN -0.0665814 NaN NaN NaN NaN 1.8867 NaN NaN NaN 1639589404.914 49.618 NaN 0.0628319 NaN NaN NaN 
