dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-0
the8x3_filename: 00260000
filename_extension: sbd
filename_label: sunfish-2021-291-2-0-sbd(00260000)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:04:08_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653327.799 NaN 11.3074 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 13.9956 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653335.803 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.9379 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653351.814 7.39379 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.427773 0.601794 NaN NaN NaN NaN NaN NaN NaN NaN NaN 74.2443 0.411837 NaN NaN NaN NaN 0.247837 NaN NaN NaN 1634653383.837 7.42443 NaN 0.0331613 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.2158 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653415.917 7.32158 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.00759742 0.600422 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00868453 NaN NaN NaN NaN 0.862193 NaN NaN NaN 1634653443.937 NaN NaN 0.0296706 NaN NaN NaN 4 
NaN 0.22192 NaN NaN 0.3491 NaN NaN NaN NaN 14.1665 0.221336 NaN NaN 69.3426 NaN NaN NaN NaN NaN NaN 4725.06144274703 -5307.55483788506 0.495674 1634653447.979 6.93426 NaN NaN 8.28888 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 58.6421 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653497.998 5.86421 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0661432 0.592581 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0723711 NaN NaN NaN NaN 0.842994 NaN NaN NaN 1634653528.003 NaN NaN 0.0296706 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 48.7294 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653558.009 4.87294 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0487383 0.582176 NaN NaN NaN NaN NaN NaN NaN NaN NaN 39.2762 -0.0723711 NaN NaN NaN NaN 0.74351 NaN NaN NaN 1634653618.021 3.92762 NaN 0.0244346 NaN NaN NaN 4 
NaN NaN -0.0314055 0.577689 NaN NaN NaN NaN NaN NaN NaN NaN NaN 31.0265 -0.0521072 NaN NaN NaN NaN 0.649262 NaN NaN NaN 1634653678.032 3.10265 NaN 0.0244346 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 25.0307 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653738.044 2.50307 NaN NaN NaN NaN NaN NaN 
NaN 0.59923 -0.0314055 0.575956 0.3491 NaN NaN NaN NaN 14.5285 0.577392 NaN NaN NaN -0.0521072 NaN NaN NaN NaN 0.598648 4725.12102019351 -5307.51828687291 0.272271 1634653768.05 2.13764 NaN 0.0296706 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 18.2691 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653798.055 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653828.061 1.4374 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0314055 0.573889 NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.8072 -0.0521072 NaN NaN NaN NaN 0.591667 NaN NaN NaN 1634653858.067 NaN NaN 0.0261799 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653862.07 1.02382 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.41751 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653890.109 NaN NaN NaN NaN NaN NaN NaN 
