dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-97
the8x3_filename: 00410097
filename_extension: sbd
filename_label: sunfish-2021-335-1-97-sbd(00410097)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_22:10:04_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-97
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 38.7387 52.8937 115.607 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176544.076 11.5607 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0761988 1.5602 0.3491 NaN NaN NaN NaN NaN NaN NaN 108.269 NaN -0.0723711 NaN NaN NaN NaN 1.88321 NaN NaN 0.347321 1639176604.086 10.8269 NaN 0.0506145 NaN NaN NaN 4 
NaN NaN -0.0860989 1.56018 NaN NaN NaN NaN NaN NaN NaN NaN 101.085 NaN -0.0694762 NaN NaN NaN NaN 1.90415 NaN NaN NaN 1639176664.098 10.1085 NaN 0.0471239 NaN NaN NaN 4 
-0.278848 162.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 94.3584 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176724.11 9.43584 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0878929 1.56014 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0723711 NaN NaN NaN NaN 1.93033 NaN NaN NaN 1639176754.116 NaN NaN 0.0453786 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN 14.8183 -0.254485 NaN NaN 87.3701 163.167 NaN NaN NaN NaN NaN NaN 4840.6277945342 -5125.18929447789 NaN 1639176784.122 8.73701 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0961172 1.5601 NaN NaN NaN NaN NaN NaN NaN NaN 80.7749 NaN -0.0926349 NaN NaN NaN NaN 1.95302 NaN NaN NaN 1639176844.132 8.07749 NaN 0.0436332 NaN NaN NaN 4 
NaN NaN NaN NaN 0.3491 NaN NaN NaN NaN NaN NaN NaN 73.1096 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.340339 1639176904.143 7.31096 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0823006 1.56006 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0955298 NaN NaN NaN NaN 1.85878 NaN NaN NaN 1639176934.149 NaN NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 64.942 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176964.155 6.4942 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176994.161 NaN NaN NaN 8.29576 NaN NaN NaN 
NaN NaN -0.103625 1.56002 NaN NaN NaN NaN NaN NaN NaN NaN 57.9537 NaN -0.0926349 NaN NaN NaN NaN 2.0368 NaN NaN NaN 1639177024.166 5.79537 NaN 0.0488692 NaN NaN NaN 4 
-0.278848 162.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639177054.172 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 51.2712 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639177084.178 5.12712 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.15388 1.55996 NaN NaN NaN NaN 14.9205 -0.254485 NaN NaN NaN 163.485 -0.118689 NaN NaN NaN NaN 2.18864 4840.62372913991 -5125.11105043959 NaN 1639177114.184 NaN NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 43.6277 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639177144.19 4.36277 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.15373 1.55989 0.3491 NaN NaN NaN NaN NaN NaN NaN 36.836 NaN -0.153427 NaN NaN NaN NaN 2.16072 NaN NaN 0.326377 1639177204.202 3.6836 NaN 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 30.5465 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639177264.214 3.05465 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.144352 1.55983 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.156321 NaN NaN NaN NaN 2.07171 NaN NaN NaN 1639177294.22 NaN NaN 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.5145 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639177324.226 2.35145 NaN NaN NaN NaN NaN NaN 
-0.249787 -262.5 -0.287431 1.55978 NaN NaN NaN NaN NaN NaN NaN NaN 20.5663 NaN -0.299802 NaN NaN NaN NaN 1.96524 NaN NaN NaN 1639177356.245 2.05663 NaN 0.0436332 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 20.4135 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639177388.269 2.04135 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4840.4321 -5125.5186 NaN NaN NaN NaN 1639177404.293 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.100656 1.55977 NaN NaN NaN NaN 14.9512 -0.254485 NaN NaN 27.1397 -260.415 -0.112899 NaN NaN NaN NaN 1.86925 4840.61556989637 -5125.04260952259 NaN 1639177438.362 2.71397 NaN 0.0244346 NaN NaN NaN 4 
