dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-111
the8x3_filename: 00410111
filename_extension: sbd
filename_label: sunfish-2021-335-1-111-sbd(00410111)
mission_name: regm20.mi
fileopen_time: Sun_Dec_12_12:17:02_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-111
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN 39.3641 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313374.618 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0490614 1.56305 -0.3491 NaN NaN NaN NaN NaN NaN NaN 199.146 NaN 0.055002 NaN NaN NaN NaN 1.48877 NaN NaN -0.336849 1639313408.629 19.9146 38.8894 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 202.531 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313438.634 20.2531 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 31.072 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313446.629 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0241176 1.56305 NaN NaN NaN NaN NaN NaN NaN NaN 207.423 NaN -0.0231587 NaN NaN NaN NaN 1.71217 NaN NaN NaN 1639313480.641 20.7423 30.5846 0.0453786 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 26.5231 NaN NaN NaN NaN 212.096 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313522.66 21.2096 NaN NaN NaN NaN NaN NaN 
-0.127103 -237.5 0.0253896 1.56304 NaN NaN NaN NaN 15.0559 -0.147668 NaN NaN 216.726 -228.981 0.0231587 NaN NaN NaN NaN 1.51495 4850.17330793009 -5046.32373350936 NaN 1639313564.677 21.6726 20.9807 0.0418879 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN 14.9929 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313584.695 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 220.264 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313596.713 22.0264 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.322149 1.56305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.2928 NaN NaN NaN NaN 1.309 NaN NaN NaN 1639313624.788 NaN 14.2046 0.0401426 NaN NaN NaN 4 
