dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-95
the8x3_filename: 00410095
filename_extension: sbd
filename_label: sunfish-2021-335-1-95-sbd(00410095)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_19:31:16_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-95
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN -0.0343667 1.56217 NaN NaN NaN NaN NaN NaN NaN NaN 171.284 NaN 0.276461 NaN NaN NaN NaN 1.88845 NaN NaN NaN 1639166408.709 17.1284 NaN 0.0506145 NaN NaN NaN 4 
-0.331183 137.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 164.425 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166468.722 16.4425 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0956271 1.56213 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0752659 NaN NaN NaN NaN 1.99142 NaN NaN NaN 1639166498.728 16.0712 NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN 0.3491 NaN NaN NaN 14.5239 -0.275524 NaN NaN 156.933 137.648 NaN NaN NaN NaN NaN NaN 4840.22557974325 -5127.95653388345 0.331613 1639166528.734 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166558.74 15.3307 NaN NaN 8.20537 NaN NaN NaN 
NaN NaN -0.0981646 1.56208 NaN NaN NaN NaN NaN NaN NaN NaN 149.572 NaN -0.101319 NaN NaN NaN NaN 1.95826 NaN NaN NaN 1639166588.746 NaN NaN 0.0488692 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166618.751 14.6077 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 142.735 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166648.757 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.070678 1.56204 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0984246 NaN NaN NaN NaN 1.88321 NaN NaN NaN 1639166678.763 13.9458 NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 135.832 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166708.769 NaN NaN NaN NaN NaN NaN NaN 
