dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-106
the8x3_filename: 00410106
filename_extension: sbd
filename_label: sunfish-2021-335-1-106-sbd(00410106)
mission_name: regm20.mi
fileopen_time: Sat_Dec_11_22:56:27_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-106
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 178.443 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265048.499 17.8443 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 46.3629 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265056.503 NaN NaN NaN NaN NaN NaN NaN 
-0.218899 -237.5 0.0784433 1.56253 NaN NaN NaN NaN 15.0481 -0.233445 NaN NaN 182.352 -231.293 0.0839504 NaN NaN NaN NaN 1.30376 4846.78803643117 -5100.5828414422 NaN 1639265090.516 18.2352 46.3629 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 187.484 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265150.527 18.7484 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.285188 1.56254 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0202639 NaN NaN NaN NaN 1.57603 NaN NaN NaN 1639265154.534 NaN 39.83 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 39.83 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265158.561 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 190.957 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265192.569 19.0957 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0552796 1.56253 -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.285798 NaN NaN NaN NaN 2.06822 NaN NaN -0.305433 1639265222.575 NaN 38.5328 0.0488692 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 193.687 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265226.579 19.3687 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 32.8938 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265230.582 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 196.875 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265264.589 19.6875 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.117175 1.56249 NaN NaN NaN NaN NaN NaN NaN NaN 199.408 NaN -0.127373 NaN NaN NaN NaN 1.99317 NaN NaN NaN 1639265294.595 19.9408 32.3819 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 25.1028 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639265302.592 NaN NaN NaN NaN NaN NaN NaN 
